                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    147,                0.72959,                0.48074,                0.10132,                0.67491,                0.54236,                0.56203,                0.35622,                0.51022,                0.55436,                0.05632,                 0.0001,                 0.0001,                 0.0001
                    148,                0.73004,                0.47782,                0.10338,                0.67755,                0.54134,                0.56144,                0.35584,                0.50983,                0.55435,                0.05643,                 0.0001,                 0.0001,                 0.0001
                    149,                0.72918,                0.47822,                0.10064,                0.67238,                0.54367,                 0.5624,                0.35676,                0.51073,                0.55423,                0.05591,                 0.0001,                 0.0001,                 0.0001
                    150,                 0.7335,                0.47663,                0.10429,                0.66676,                0.54597,                0.56219,                 0.3575,                0.51054,                0.55453,                0.05578,                 0.0001,                 0.0001,                 0.0001
                    151,                0.72723,                0.47828,                0.10196,                0.66798,                0.54804,                0.56411,                0.35795,                0.51022,                0.55515,                0.05558,                 0.0001,                 0.0001,                 0.0001
                    152,                0.72911,                0.47745,                0.10198,                 0.6654,                0.54822,                0.56461,                0.35818,                0.51017,                0.55436,                0.05592,                 0.0001,                 0.0001,                 0.0001
                    153,                0.72751,                0.47636,                0.09979,                0.66858,                0.54952,                 0.5652,                0.35867,                0.51108,                0.55347,                0.05616,                 0.0001,                 0.0001,                 0.0001
                    154,                0.72931,                0.47699,                0.10255,                0.66643,                0.54861,                0.56399,                0.35818,                0.51136,                0.55323,                0.05613,                 0.0001,                 0.0001,                 0.0001
                    155,                0.71998,                0.47709,                0.10106,                0.66497,                 0.5494,                0.56533,                0.35919,                0.51076,                0.55345,                0.05607,                 0.0001,                 0.0001,                 0.0001
                    156,                0.73006,                0.47592,                 0.1036,                0.66402,                 0.5481,                0.56585,                0.35908,                0.51055,                0.55367,                0.05602,                 0.0001,                 0.0001,                 0.0001
                    157,                0.72498,                0.47589,                0.10111,                 0.6626,                0.54677,                0.56374,                0.35803,                0.51025,                0.55383,                0.05619,                 0.0001,                 0.0001,                 0.0001
                    158,                0.72648,                0.47808,                 0.1003,                0.66128,                0.54814,                0.56513,                 0.3588,                0.50964,                0.55393,                0.05628,                 0.0001,                 0.0001,                 0.0001
                    159,                0.72407,                0.47794,                0.09923,                0.66313,                0.55028,                0.56604,                0.35929,                0.50961,                0.55307,                0.05638,                 0.0001,                 0.0001,                 0.0001
                    160,                0.72699,                0.47579,                0.09956,                0.66088,                0.54878,                0.56436,                0.35897,                0.50843,                0.55407,                0.05598,                 0.0001,                 0.0001,                 0.0001
                    161,                0.72894,                0.47477,                0.10302,                0.66307,                0.54873,                0.56409,                0.35843,                 0.5076,                0.55531,                0.05548,                 0.0001,                 0.0001,                 0.0001
                    162,                0.73307,                 0.4771,                0.10145,                0.66825,                0.54843,                0.56592,                 0.3592,                0.50873,                0.55408,                0.05585,                 0.0001,                 0.0001,                 0.0001
                    163,                0.71609,                 0.4801,                 0.0986,                0.66787,                0.54762,                0.56597,                0.36025,                0.50812,                0.55423,                0.05529,                 0.0001,                 0.0001,                 0.0001
                    164,                0.71834,                0.47765,                0.09872,                0.67183,                0.54821,                 0.5673,                0.36076,                 0.5083,                0.55422,                0.05591,                 0.0001,                 0.0001,                 0.0001
                    165,                0.71511,                0.47732,                0.09792,                0.67438,                0.54793,                0.56772,                0.36105,                 0.5076,                0.55522,                0.05581,                 0.0001,                 0.0001,                 0.0001
